Group00_Index,Channel_Name,Crate,Card,Channel,Vset,Enabled,Flagged,Groups,,,,,,
176,CH_1_1_0,1,1,0,0,1,0,GROUP00;LeCroy1;Broken,,,,,,
177,MRD_x1_y1_z8,1,1,1,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
178,MRD_x1_y2_z8,1,1,2,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
179,MRD_x1_y3_z8,1,1,3,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
180,MRD_x1_y4_z8,1,1,4,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
181,MRD_x1_y5_z8,1,1,5,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
182,MRD_x1_y6_z8,1,1,6,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
183,MRD_x1_y7_z8,1,1,7,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
184,MRD_x1_y8_z8,1,1,8,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
185,MRD_x1_y9_z8,1,1,9,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
186,MRD_x1_y10_z8,1,1,10,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
187,MRD_x1_y11_z8,1,1,11,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
188,MRD_x1_y12_z8,1,1,12,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
189,MRD_x1_y0_z8,1,1,13,2100,1,0,GROUP00;ACTIVE;MRD;LeCroy1,,,,,,
190,CH_1_1_14,1,1,14,0,1,0,GROUP00;LeCroy1,,,,,,
191,CH_1_1_15,1,1,15,0,1,0,GROUP00;LeCroy1,,,,,,
192,CH_1_2_0,1,2,0,0,1,0,GROUP00;LeCroy1,,,,,,
193,CH_1_2_1,1,2,1,0,1,0,GROUP00;LeCroy1,,,,,,
194,CH_1_2_2,1,2,2,0,1,0,GROUP00;LeCroy1,,,,,,
195,CH_1_2_3,1,2,3,0,1,0,GROUP00;LeCroy1,,,,,,
196,CH_1_2_4,1,2,4,0,1,0,GROUP00;LeCroy1,,,,,,
197,CH_1_2_5,1,2,5,0,1,0,GROUP00;LeCroy1,,,,,,
198,CH_1_2_6,1,2,6,0,1,0,GROUP00;LeCroy1,,,,,,
199,CH_1_2_7,1,2,7,0,1,0,GROUP00;LeCroy1,,,,,,
200,CH_1_2_8,1,2,8,0,1,0,GROUP00;LeCroy1,,,,,,
201,CH_1_2_9,1,2,9,0,1,0,GROUP00;LeCroy1,,,,,,
202,CH_1_2_10,1,2,10,0,1,0,GROUP00;LeCroy1,,,,,,
203,CH_1_2_11,1,2,11,0,1,0,GROUP00;LeCroy1,,,,,,
204,CH_1_2_12,1,2,12,0,1,0,GROUP00;LeCroy1,,,,,,
205,CH_1_2_13,1,2,13,0,1,0,GROUP00;LeCroy1,,,,,,
206,CH_1_2_14,1,2,14,0,1,0,GROUP00;LeCroy1,,,,,,
207,CH_1_2_15,1,2,15,0,1,0,GROUP00;LeCroy1,,,,,,
208,CH_1_3_0,1,3,0,0,1,0,GROUP00;LeCroy1,,,,,,
209,CH_1_3_1,1,3,1,0,1,0,GROUP00;LeCroy1,,,,,,
210,CH_1_3_2,1,3,2,0,1,0,GROUP00;LeCroy1,,,,,,
211,CH_1_3_3,1,3,3,0,1,0,GROUP00;LeCroy1,,,,,,
212,CH_1_3_4,1,3,4,0,1,0,GROUP00;LeCroy1,,,,,,
213,CH_1_3_5,1,3,5,0,1,0,GROUP00;LeCroy1,,,,,,
214,CH_1_3_6,1,3,6,0,1,0,GROUP00;LeCroy1,,,,,,
215,CH_1_3_7,1,3,7,0,1,0,GROUP00;LeCroy1,,,,,,
216,CH_1_3_8,1,3,8,0,1,0,GROUP00;LeCroy1,,,,,,
217,CH_1_3_9,1,3,9,0,1,0,GROUP00;LeCroy1,,,,,,
218,CH_1_3_10,1,3,10,0,1,0,GROUP00;LeCroy1,,,,,,
219,CH_1_3_11,1,3,11,0,1,0,GROUP00;LeCroy1,,,,,,
220,CH_1_3_12,1,3,12,0,1,0,GROUP00;LeCroy1,,,,,,
221,CH_1_3_13,1,3,13,0,1,0,GROUP00;LeCroy1,,,,,,
222,CH_1_3_14,1,3,14,0,1,0,GROUP00;LeCroy1,,,,,,
223,CH_1_3_15,1,3,15,0,1,0,GROUP00;LeCroy1,,,,,,
